user_id,cluster
23557,2
94883,0
101486,0
101961,0
106907,2
118043,0
120851,0
125845,0
133058,2
149058,0
152583,0
153982,0
160754,0
164522,0
171470,2
174997,0
175032,0
181157,0
182191,2
187212,0
189676,1
190866,0
195192,2
204943,0
204997,0
205044,0
206011,0
216796,2
217114,2
217136,0
220725,0
224996,0
226367,0
228195,2
228872,0
229108,2
229330,0
249521,0
252835,0
258451,2
264470,0
276512,0
281952,0
283325,0
290123,0
297546,0
298253,2
299476,0
306165,2
306819,0
312488,0
313724,0
316527,0
317688,0
322867,0
324191,0
328590,0
330764,1
330893,0
331039,2
334787,0
337227,2
338086,0
340166,1
343928,0
347778,0
348817,0
348863,2
349132,0
353271,2
353694,0
354050,0
354260,0
354311,0
354950,0
356046,0
357737,0
359072,0
359080,0
359653,0
361459,0
361759,0
363535,0
365825,0
371201,0
372970,0
373489,2
374331,2
374340,2
374341,1
375160,2
375729,0
375751,0
376159,0
377069,2
377411,0
378565,0
379543,0
380434,0
380436,0
380757,0
380874,0
380949,0
381259,0
381465,0
382181,0
382384,0
385689,0
386255,2
386914,0
387282,2
387783,0
388328,0
388767,0
388947,0
389434,0
389662,0
389759,0
390811,0
392453,0
395202,1
395981,0
396552,0
399137,0
399218,0
399799,0
400275,0
400582,0
400899,0
401245,0
402332,0
402978,0
403881,0
404879,0
405305,0
406210,0
407118,0
407250,0
407275,0
407434,2
407642,0
408551,0
409073,0
411179,0
411701,0
413128,0
413340,0
413418,0
413658,0
414128,0
415282,0
415381,0
415581,0
416319,0
416580,0
417679,0
418329,0
418488,0
418692,0
420648,0
420669,0
421247,0
421515,0
421666,0
421700,0
421870,0
422066,0
423042,0
424553,0
425632,0
425653,2
425953,0
425966,0
426478,0
427426,0
427506,0
428056,0
428552,0
428858,0
429345,1
429375,0
430722,0
431144,0
431337,0
431602,0
431746,2
431899,2
431912,2
432333,0
432637,0
432941,0
433080,0
433339,0
433905,2
434238,0
434623,0
435231,0
435596,0
435669,0
435837,1
435882,0
436320,0
436894,0
437069,0
437162,0
437251,0
437539,0
437549,0
438189,0
438406,0
438551,1
438596,0
438839,0
438937,0
438985,0
438995,2
439052,0
439120,0
439363,0
440212,0
440655,0
441200,0
441205,2
441448,2
441457,0
441982,0
442484,0
442718,0
442812,1
442819,0
442833,0
443305,0
443453,0
443598,0
443652,0
444387,0
444885,0
445351,0
445515,0
446124,0
446138,0
446473,0
446933,0
447053,0
447591,0
447737,0
447951,0
448025,0
448154,2
448295,0
448467,1
448564,0
449033,0
449326,0
449619,0
449804,0
450164,0
450193,0
450305,0
450615,0
451291,0
451674,2
452034,0
452532,2
452594,0
452612,0
453143,0
453168,0
454264,2
454430,1
454616,0
454661,0
454920,0
454934,0
454955,0
456226,0
456318,0
456663,0
456671,0
457468,0
457599,0
457967,2
458479,1
458688,0
458762,0
458814,0
458855,0
458919,0
459229,0
459486,0
459645,2
460072,0
460181,0
460553,0
460625,0
461559,0
461744,0
461791,0
462127,2
462456,0
462894,2
463652,0
463698,0
463783,0
463867,0
463910,0
464080,0
464160,0
464239,0
464542,0
464597,2
464614,0
464673,2
464782,0
464855,0
465138,0
465343,0
465531,0
465568,1
465731,0
466205,0
466723,0
467007,0
467339,0
467809,0
467892,0
468106,0
468370,0
468409,0
468666,0
468801,0
468808,0
468832,0
469418,2
469440,0
469464,1
469699,1
469767,0
469824,0
471077,0
471161,0
471186,0
471500,0
471565,0
471649,1
471687,0
471717,0
471935,0
471946,1
471973,2
472394,0
472614,0
472713,0
472785,0
472966,0
473332,0
473343,0
473402,0
473467,0
473568,0
473712,0
473847,2
474120,0
474239,2
474261,0
474278,2
474384,0
474464,0
474546,0
474951,0
474980,0
475060,0
475130,0
475467,0
475531,0
476081,0
476104,0
476124,0
476173,1
476270,0
476393,0
476436,0
476535,0
476665,0
476693,0
476714,0
476742,0
476916,2
476956,0
477285,0
477316,0
477597,0
477730,0
477805,1
478003,0
478146,0
478188,0
478228,1
478291,0
478533,0
478585,0
478760,1
478801,0
478834,2
479071,0
479101,0
479254,0
479524,2
479785,2
480186,2
480313,0
480331,0
480690,0
480796,0
480877,0
480895,0
480975,2
481050,0
481245,0
481292,0
481554,0
481622,0
481772,0
481781,2
482264,0
482335,1
482424,0
482548,0
482602,0
482621,1
482630,0
482744,0
482811,2
483224,0
483237,0
483345,0
483480,0
483483,0
483525,0
483603,0
483928,0
484249,0
484418,0
484987,0
485149,0
485260,0
485393,2
485505,0
485518,2
485536,2
485544,0
485591,0
485658,0
485780,0
485785,0
485891,0
485894,0
486046,1
486113,0
486191,1
486261,1
486268,2
486270,0
486366,0
486447,2
486454,0
486605,0
486671,0
486751,0
486823,2
487002,0
487036,0
487040,0
487101,0
487276,0
487453,0
487637,0
487680,0
487715,0
487858,0
487954,0
488009,0
488314,0
488410,0
488462,0
488480,0
488511,0
488529,0
488539,2
488672,0
488827,0
488865,0
488870,0
488918,0
488974,0
489096,0
489131,2
489575,0
489635,0
489661,1
489730,0
489785,0
489786,2
489802,0
489844,0
489852,1
489949,0
489953,0
489992,0
490040,0
490107,0
490133,0
490201,0
490348,0
490358,0
490517,2
490576,0
490608,0
490629,0
490671,0
491003,0
491124,0
491141,0
491175,0
491182,0
491241,0
491266,2
491559,0
491597,2
491617,0
491706,0
491772,0
491925,0
491930,0
492209,0
492211,0
492287,0
492371,0
492497,2
492614,2
492999,0
493177,0
493409,0
493476,0
493718,0
494294,0
494374,0
494382,0
494441,2
494463,0
494590,0
494680,0
494704,0
494985,0
495029,0
495042,0
495080,0
495272,0
495273,0
495386,0
495482,0
495592,2
495603,0
495727,0
496016,0
496074,2
496273,0
496286,0
496332,0
496382,0
496408,0
496566,0
496899,0
496972,0
497042,0
497077,0
497108,0
497225,0
497475,0
497615,0
497678,0
497680,0
497829,0
497915,0
498154,0
498199,0
498287,0
498357,0
498363,0
498500,0
498574,0
498607,0
498665,0
498857,0
498931,0
499028,0
499038,0
499252,0
499313,0
499366,0
499375,0
499379,0
499461,0
499475,0
499633,0
499634,0
499659,2
499669,0
499751,0
499760,2
499780,2
499810,0
499847,0
499969,1
499979,0
499990,0
500078,0
500196,0
500243,0
500257,0
500299,1
500493,0
500532,1
500646,0
500745,0
500773,0
500791,1
500828,0
500972,0
500974,0
501087,0
501125,0
501184,0
501322,0
501344,2
501436,0
501512,0
501708,2
501735,0
501764,0
501794,0
501817,0
501830,0
501897,1
501947,0
502063,0
502145,0
502210,0
502212,0
502353,0
502412,0
502435,0
502444,0
502609,0
502626,0
502799,0
502819,2
502826,0
502847,0
502850,2
502875,0
502995,2
503042,0
503049,2
503058,0
503126,1
503161,2
503277,0
503342,0
503418,0
503483,2
503621,0
503760,0
503918,2
503928,0
503945,0
503973,0
504081,0
504133,2
504240,0
504299,0
504320,0
504371,0
504435,0
504473,0
504579,2
504610,2
504665,0
504669,0
504786,0
504859,0
504892,2
504916,2
504936,0
504945,0
505062,0
505066,2
505172,0
505230,0
505285,0
505289,0
505358,0
505414,0
505498,0
505617,2
505667,0
505680,0
505713,0
505747,0
505771,0
505854,0
505916,0
505933,0
505941,0
506013,0
506130,0
506186,0
506234,0
506250,0
506427,0
506611,0
506652,2
506675,0
506704,0
506777,2
506807,0
506828,0
506837,0
506858,0
506990,2
507036,0
507133,0
507273,0
507376,0
507395,0
507431,0
507435,0
507505,0
507531,1
507557,0
507573,0
507617,0
507728,0
507732,0
507753,0
507759,0
507773,0
507805,0
508050,0
508096,0
508111,2
508144,0
508153,0
508240,0
508360,0
508367,0
508497,0
508512,1
508546,0
508611,2
508625,0
508693,0
508731,0
508848,0
508849,0
508856,0
508857,0
508860,0
508866,0
508877,0
508892,0
508901,0
508912,0
508917,0
508923,0
508938,0
508940,0
508944,0
508946,0
508964,2
508973,0
509001,2
509036,0
509052,0
509061,0
509069,0
509098,0
509115,0
509119,0
509157,0
509160,0
509162,1
509202,0
509221,0
509242,0
509272,1
509278,2
509282,0
509302,0
509316,0
509324,0
509341,0
509346,0
509353,2
509354,0
509359,0
509402,2
509411,0
509413,0
509414,2
509419,0
509421,0
509435,0
509445,0
509453,0
509454,0
509467,0
509498,2
509515,0
509516,0
509530,0
509598,0
509626,0
509635,0
509638,2
509645,0
509681,0
509712,0
509713,0
