user_id,primary_perk,primary_score,secondary_perk,secondary_score,perk_gap,confidence,cluster
23557,Hotel Meal,1.1199380530784295,No Cancel Fee,0.0,1.1199380530784295,HIGH,2
94883,Free Bag,1.1885751959584556,Exclusive Discount,0.8873797184871342,0.30119547747132147,HIGH,0
101486,Hotel Night,0.7124464745499619,Exclusive Discount,0.2684265989445057,0.4440198756054562,HIGH,0
101961,Hotel Meal,1.4257674465406238,Exclusive Discount,0.810351874594207,0.6154155719464168,HIGH,0
106907,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
118043,Hotel Meal,2.188337680893955,Free Bag,1.1885751959584556,0.9997624849354996,HIGH,0
120851,Hotel Night,0.7124464745499619,Hotel Meal,0.1383458950229164,0.5741005795270455,HIGH,0
125845,Hotel Night,0.7124464745499619,Free Bag,0.1018241682758222,0.6106223062741397,HIGH,0
133058,No Cancel Fee,0.0,Exclusive Discount,-0.8819602036242274,0.8819602036242274,MEDIUM,2
149058,Hotel Meal,1.4760712623502716,Hotel Night,0.7124464745499619,0.7636247878003097,HIGH,0
152583,Free Bag,3.3620772513237225,Hotel Night,0.7124464745499619,2.6496307767737606,HIGH,0
153982,Hotel Night,0.7124464745499619,Free Bag,0.1018241682758222,0.6106223062741397,HIGH,0
160754,Free Bag,1.1885751959584556,Exclusive Discount,0.9861746040327646,0.20240059192569104,HIGH,0
164522,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
171470,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
174997,Exclusive Discount,0.7608071726008242,Hotel Night,0.7124464745499619,0.048360698050862294,MEDIUM,0
175032,Free Bag,1.1885751959584556,Exclusive Discount,0.9396089292389884,0.2489662667194672,HIGH,0
181157,Hotel Night,0.7124464745499619,Exclusive Discount,0.6183049692712396,0.09414150527872234,MEDIUM,0
182191,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
187212,Hotel Night,0.7124464745499619,Free Bag,0.4640745108367,0.24837196371326192,HIGH,0
189676,Hotel Meal,2.295177643675507,Exclusive Discount,0.229667095524187,2.06551054815132,HIGH,1
190866,Hotel Meal,0.9745169926257614,Hotel Night,0.7124464745499619,0.2620705180757995,HIGH,0
195192,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
204943,Hotel Meal,1.961302759983156,Exclusive Discount,0.882204407919607,1.079098352063549,HIGH,0
204997,Exclusive Discount,1.1256630574245314,Free Bag,0.1018241682758222,1.0238388891487091,HIGH,0
205044,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
206011,Exclusive Discount,0.8496896591366403,Hotel Meal,0.4188007973244917,0.4308888618121486,HIGH,0
216796,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
217114,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
217136,Hotel Meal,0.3141866671008882,Hotel Night,0.0257824539889438,0.2884042131119444,MEDIUM,0
220725,Hotel Night,0.3004480622133511,No Cancel Fee,0.0,0.3004480622133511,MEDIUM,0
224996,Hotel Night,0.0257824539889438,No Cancel Fee,0.0,0.0257824539889438,LOW,0
226367,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
228195,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
228872,Free Bag,1.1885751959584556,Hotel Meal,0.7949664996178744,0.39360869634058127,HIGH,0
229108,No Cancel Fee,0.0,Free Bag,-0.9849268594068112,0.9849268594068112,MEDIUM,2
229330,Hotel Night,0.7124464745499619,Exclusive Discount,0.3282361549954569,0.384210319554505,HIGH,0
249521,Free Bag,1.1885751959584556,Hotel Meal,0.4076716345347463,0.7809035614237093,HIGH,0
252835,Hotel Meal,0.7994181647337724,Hotel Night,0.4835584676962888,0.31585969703748357,HIGH,0
258451,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
264470,Hotel Night,0.7124464745499619,Free Bag,0.1018241682758222,0.6106223062741397,HIGH,0
276512,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
281952,Free Bag,2.2753262236410894,Hotel Night,0.7124464745499619,1.5628797490911275,HIGH,0
283325,Hotel Night,0.7124464745499619,No Cancel Fee,0.0,0.7124464745499619,HIGH,0
290123,Hotel Meal,0.8261281554291608,Hotel Night,0.4181618943095248,0.4079662611196361,HIGH,0
297546,Hotel Meal,1.5562012344364355,Free Bag,1.1885751959584556,0.3676260384779799,HIGH,0
298253,Free Bag,3.3620772513237225,No Cancel Fee,0.0,3.3620772513237225,HIGH,2
299476,Exclusive Discount,1.5228146567911718,Hotel Night,0.7124464745499619,0.8103681822412099,HIGH,0
306165,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
306819,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
312488,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
313724,Free Bag,1.1885751959584556,Hotel Night,0.7124464745499619,0.4761287214084937,HIGH,0
316527,Hotel Night,0.7124464745499619,Exclusive Discount,0.1944367569632559,0.518009717586706,HIGH,0
317688,Hotel Night,0.7124464745499619,Hotel Meal,0.6836748717204243,0.028771602829537613,MEDIUM,0
322867,Free Bag,1.1885751959584556,Exclusive Discount,0.7917837625653861,0.39679143339306955,HIGH,0
324191,Exclusive Discount,2.174827354661586,Hotel Night,0.7124464745499619,1.462380880111624,HIGH,0
328590,Hotel Night,0.7124464745499619,No Cancel Fee,0.0,0.7124464745499619,HIGH,0
330764,Hotel Meal,2.1705310204303623,Exclusive Discount,0.9790015190523288,1.1915295013780334,HIGH,1
330893,Hotel Night,0.7124464745499619,Exclusive Discount,0.6171227417011773,0.09532373284878459,MEDIUM,0
331039,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
334787,Hotel Night,0.7124464745499619,Exclusive Discount,0.5613959820658145,0.15105049248414737,MEDIUM,0
337227,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
338086,Hotel Night,0.7124464745499619,Exclusive Discount,0.1944752631540288,0.5179712113959332,HIGH,0
340166,Hotel Meal,1.0464855786661125,No Cancel Fee,0.0,1.0464855786661125,HIGH,1
343928,Hotel Night,0.7124464745499619,Exclusive Discount,0.0559619960205644,0.6564844785293975,HIGH,0
347778,Free Bag,1.1885751959584556,Hotel Night,0.4181618943095248,0.7704133016489308,HIGH,0
348817,Hotel Meal,1.0130980902968774,Free Bag,0.4640745108367,0.5490235794601774,HIGH,0
348863,No Cancel Fee,0.0,Exclusive Discount,-0.1247288492224758,0.1247288492224758,MEDIUM,2
